Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
STRG.20	-	chrI	+	61316	62563	63.701866	7218.455078	12210.040039
STRG.21	-	chrI	+	62840	65404	14.613646	1629.823364	2756.851807
STRG.22	-	chrI	-	65778	67520	17.788870	1983.948364	3355.855225
STRG.23	-	chrI	-	68716	69525	41.623455	4642.160156	7852.229492
YAL038W	CDC19	chrI	+	71786	73288	697.997681	77845.937500	131676.671875
YAL037C-B	-	chrI	-	72326	73300	249.404861	27815.500000	47050.011719
YAL037C-A	-	chrI	-	73426	73518	0.956989	106.730598	180.535156
YAL037W	-	chrI	+	74020	74823	7.527363	839.507996	1420.030640
YAL036C	RBG1	chrI	-	75043	76152	31.028830	3460.568115	5853.562012
YAL035W	FUN12	chrI	+	76427	79435	63.479561	7079.717285	11975.364258
YAL034C-B	-	chrI	-	79489	79842	1.137915	126.908821	214.666687
YAL034W-A	MTW1	chrI	+	79718	80587	11.674911	1339.731812	2266.160645
YAL034C	FUN19	chrI	-	80710	81951	38.604671	4305.482910	7282.738281
YAL033W	POP5	chrI	+	82706	83227	20.264368	2260.034424	3822.855713
YAL032C	PRP45	chrI	-	83335	84474	20.748245	2314.000000	3914.138916
YAL031W-A	-	chrI	+	84669	84977	7.071158	788.628479	1333.967773
YAL031C	GIP4	chrI	-	84749	87031	9.908759	1136.189087	1921.867554
YAL030W	SNC1	chrI	+	87286	87752	83.016953	9258.672852	15661.077148
YAL029C	MYO4	chrI	-	87855	92270	10.232337	1141.187012	1930.321655
YAL028W	FRT2	chrI	+	92900	94486	5.327032	594.110596	1004.940002
YAL027W	SAW1	chrI	+	94687	95472	26.963104	3007.127686	5086.566406
YAL026C-A	-	chrI	-	95386	95823	10.205480	1147.697388	1941.333862
YAL026C	DRS2	chrI	-	95630	99697	10.913701	1217.177979	2058.860596
HRA1	-	chrI	+	99305	99868	3.013860	336.128296	568.562134
YAL025C	MAK16	chrI	-	100225	101145	48.509228	5410.113281	9151.224609
STRG.24	-	chrI	+	71786	73288	697.997681	77845.937500	131676.671875
STRG.25	-	chrI	-	72326	73300	249.404861	27815.500000	47050.011719
STRG.26	-	chrI	+	74020	74823	7.527363	839.507996	1420.030640
STRG.27	-	chrI	-	75043	76152	31.028830	3460.568115	5853.562012
STRG.28	-	chrI	+	76427	79435	63.479561	7079.717285	11975.364258
STRG.29	-	chrI	+	79718	80587	11.674911	1339.731812	2266.160645
STRG.30	-	chrI	-	80710	81951	38.604671	4305.482910	7282.738281
STRG.31	-	chrI	+	82706	83227	20.264368	2260.034424	3822.855713
STRG.32	-	chrI	-	83335	84474	20.748245	2314.000000	3914.138916
STRG.33	-	chrI	+	84669	84977	7.071158	788.628479	1333.967773
STRG.34	-	chrI	-	84749	87031	9.908759	1136.189087	1921.867554
STRG.35	-	chrI	+	87286	87752	83.016953	9258.672852	15661.077148
STRG.36	-	chrI	-	87855	92270	10.232337	1141.187012	1930.321655
STRG.37	-	chrI	+	92900	94486	5.327032	594.110596	1004.940002
STRG.38	-	chrI	+	94687	95472	26.963104	3007.127686	5086.566406
STRG.39	-	chrI	-	95386	95823	10.205480	1147.697388	1941.333862
STRG.40	-	chrI	-	95630	99697	10.913701	1217.177979	2058.860596
STRG.41	-	chrI	-	100225	101145	48.509228	5410.113281	9151.224609
YAL024C	LTE1	chrI	-	101565	105872	5.084262	567.035034	959.141663
YAL023C	PMT2	chrI	-	106272	108551	41.914913	4674.665527	7907.212402
YAL022C	FUN26	chrI	-	108877	110430	16.368082	1825.491333	3087.824707
YAL021C	CCR4	chrI	-	110846	113359	18.259745	2036.463989	3444.685547
YAL020C	ATS1	chrI	-	113614	114615	14.306159	1595.530151	2698.844727
YAL019W-A	-	chrI	+	114250	114819	1.313566	146.498734	247.803101
YAL019W	FUN30	chrI	+	114919	118314	11.376619	1268.806030	2146.189453
YAL018C	LDS1	chrI	-	118564	119541	2.207566	246.204330	416.455444
YAL017W	PSK1	chrI	+	120225	124295	21.661144	2420.374268	4094.071289
YAL016C-B	-	chrI	-	124307	124492	6.117055	1312.546753	2220.177246
YAL016C-A	-	chrI	-	124755	125069	17.730547	1977.443726	3344.852295
YAL016W	TPD3	chrI	+	124879	126786	65.972015	7524.422363	12727.585938
YAL015C	NTG1	chrI	-	126903	128102	22.922501	2556.489258	4324.310059
YAL014C	SYN8	chrI	-	128252	129019	26.100260	2910.897217	4923.792480
YAL013W	DEP1	chrI	+	129270	130487	31.863710	3553.679932	6011.061523
YAL012W	CYS3	chrI	+	130799	131983	73.555275	8203.435547	13876.139648
YAL011W	SWC3	chrI	+	132199	134076	12.834930	1431.447754	2421.298584
YAL010C	MDM10	chrI	-	134184	135665	14.156546	1578.844238	2670.620361
YAL009W	SPO7	chrI	+	135854	136633	29.730770	3315.798828	5608.684570
YAL008W	FUN14	chrI	+	136914	137510	74.435509	8301.606445	14042.195312
YAL007C	ERP2	chrI	-	137698	138345	39.194443	4371.258789	7393.999023
STRG.42	-	chrI	-	101565	105872	5.084262	567.035034	959.141663
STRG.43	-	chrI	-	106272	108551	41.914913	4674.665527	7907.212402
STRG.44	-	chrI	-	108877	110430	16.368082	1825.491333	3087.824707
STRG.45	-	chrI	-	110846	113359	18.259745	2036.463989	3444.685547
STRG.46	-	chrI	-	113614	114615	14.306159	1595.530151	2698.844727
STRG.47	-	chrI	+	114919	118314	11.376619	1268.806030	2146.189453
STRG.48	-	chrI	-	118564	119541	2.207566	246.204330	416.455444
STRG.49	-	chrI	+	120225	124295	21.661144	2420.374268	4094.071289
STRG.50	-	chrI	-	124307	124492	6.117055	1312.546753	2220.177246
STRG.51	-	chrI	-	124755	125069	17.730547	1977.443726	3344.852295
STRG.52	-	chrI	+	124879	126786	65.972015	7524.422363	12727.585938
STRG.53	-	chrI	-	126903	128102	22.922501	2556.489258	4324.310059
STRG.54	-	chrI	-	128252	129019	26.100260	2910.897217	4923.792480
STRG.55	-	chrI	+	129270	130487	31.863710	3553.679932	6011.061523
STRG.56	-	chrI	+	130799	131983	73.555275	8203.435547	13876.139648
STRG.57	-	chrI	+	132199	134076	12.834930	1431.447754	2421.298584
STRG.58	-	chrI	-	134184	135665	14.156546	1578.844238	2670.620361
STRG.59	-	chrI	+	135854	136633	29.730770	3315.798828	5608.684570
STRG.60	-	chrI	+	136914	137510	74.435509	8301.606445	14042.195312
STRG.61	-	chrI	-	137698	138345	39.194443	4371.258789	7393.999023
YAL005C	SSA1	chrI	-	139503	141431	799.784363	89197.953125	150878.640625
YAL004W	-	chrI	+	140760	141407	0.000000	0.000000	0.000000
STRG.62	-	chrI	-	139503	141431	799.784363	89197.953125	150878.640625
YAL003W	EFB1	chrI	+	142174	143160	409.537842	45674.734375	77258.968750
snR18	-	chrI	+	142367	142468	31.578432	3521.863770	5957.244141
YAL002W	VPS8	chrI	+	143707	147531	9.578562	1068.593872	1807.530029
YAL001C	TFC3	chrI	-	147594	151166	19.479185	2172.464844	3674.731689
STRG.63	-	chrI	+	142174	143160	409.537842	45674.734375	77258.968750
STRG.64	-	chrI	+	142367	142468	31.578432	3521.863770	5957.244141
STRG.65	-	chrI	+	143707	147531	9.578562	1068.593872	1807.530029
STRG.66	-	chrI	-	147594	151166	19.479185	2172.464844	3674.731689
YAR009C	-	chrI	-	160597	164187	0.886072	98.821396	167.156723
YAR010C	-	chrI	-	164544	165866	0.552482	61.616936	104.225258
YAR002W	NUP60	chrI	+	152257	153876	22.217283	2477.838135	4191.271484
YAR002C-A	ERP1	chrI	-	154065	154724	100.122726	11166.438477	18888.066406
YAR003W	SWD1	chrI	+	155005	156285	14.332553	1598.473877	2703.823975
YAR007C	RFA1	chrI	-	156754	158619	40.225616	4486.262695	7588.527832
YAR008W	SEN34	chrI	+	158966	159793	17.705315	1974.629517	3340.092285
STRG.67	-	chrI	+	152257	153876	22.217283	2477.838135	4191.271484
STRG.68	-	chrI	-	154065	154724	100.122726	11166.438477	18888.066406
STRG.69	-	chrI	+	155005	156285	14.332553	1598.473877	2703.823975
STRG.70	-	chrI	-	156754	158619	40.225616	4486.262695	7588.527832
STRG.71	-	chrI	+	158966	159793	17.705315	1974.629517	3340.092285
YAR014C	BUD14	chrI	-	166742	168871	29.234272	3260.425537	5515.020508
STRG.72	-	chrI	-	166742	168871	29.234272	3260.425537	5515.020508
tS(AGA)A	-	chrI	-	182522	182603	0.743902	82.965538	140.336472
YAR020C	PAU7	chrI	-	176856	177023	18.648809	2079.855225	3518.082031
YAR023C	-	chrI	-	179281	179820	8.194445	913.906006	1545.875000
STRG.73	-	chrI	-	176856	177023	18.648809	2079.855225	3518.082031
STRG.74	-	chrI	-	179281	179820	8.194445	913.906006	1545.875000
YAR015W	ADE1	chrI	+	169375	170295	91.523346	10207.370117	17265.800781
YAR018C	KIN3	chrI	-	170396	171703	10.460970	1166.946045	1973.893188
YAR019C	CDC15	chrI	-	172211	175135	5.374017	599.350647	1013.803711
YAR019W-A	-	chrI	+	174998	175330	0.000000	0.000000	0.000000
STRG.75	-	chrI	+	169375	170295	91.523346	10207.370117	17265.800781
STRG.76	-	chrI	-	170396	171703	10.460970	1166.946045	1973.893188
STRG.77	-	chrI	-	172211	175135	5.374017	599.350647	1013.803711
STRG.78	-	chrI	.	175397	176275	5.496018	612.957153	1036.819092
YAR050W	FLO1	chrI	+	203403	208016	0.450477	50.240574	84.982101
YAR060C	-	chrI	-	217157	217492	3.193452	356.157715	602.442017
YAR061W	-	chrI	+	218140	219145	0.672962	75.053772	126.953705
YAR064W	-	chrI	+	220198	220497	0.378333	42.194534	71.372200
STRG.79	-	chrI	-	217157	217492	3.193452	356.157715	602.442017
YAR027W	UIP3	chrI	+	183770	184477	54.682205	6098.569824	10315.750977
YAR028W	-	chrI	+	184892	185596	2.809929	313.384369	530.090698
YAR029W	-	chrI	+	186321	186545	0.804444	89.717636	151.757675
YAR030C	-	chrI	-	186512	186853	1.111111	123.919441	209.610138
YAR031W	PRM9	chrI	+	186836	187732	5.498328	653.734802	1105.794556
YAR033W	MST28	chrI	+	188107	188811	8.110639	904.559265	1530.065063
YAR035W	YAT1	chrI	+	190193	192256	48.630806	5423.943848	9174.618164
YAR035C-A	-	chrI	-	192337	192417	2.424176	393.788483	666.094482
YAR042W	SWH1	chrI	+	192619	196185	13.561256	1512.453125	2558.319580
STRG.80	-	chrI	+	183770	184477	54.682205	6098.569824	10315.750977
STRG.81	-	chrI	+	184892	185596	2.809929	313.384369	530.090698
STRG.82	-	chrI	+	186836	187732	5.498328	653.734802	1105.794556
STRG.83	-	chrI	+	188107	188811	8.110639	904.559265	1530.065063
STRG.84	-	chrI	+	190193	192256	48.630806	5423.943848	9174.618164
STRG.85	-	chrI	-	192337	192417	2.424176	393.788483	666.094482
STRG.86	-	chrI	+	192619	196185	13.561256	1512.453125	2558.319580
YAR066W	-	chrI	+	221049	221660	8.491830	947.072571	1601.976440
YAR068W	-	chrI	+	222406	222891	8.612140	960.490479	1624.672852
STRG.87	-	chrI	+	221049	221660	8.491830	947.072571	1601.976440
STRG.88	-	chrI	+	222406	222891	8.612140	960.490479	1624.672852
YAR070C	-	chrI	-	224563	224862	0.295000	32.900616	55.651497
YAR069C	-	chrI	-	224011	224304	0.413265	46.090412	77.962090
YAR073W	IMD1	chrI	+	227742	228953	0.861386	96.068230	162.499725
YAR075W	-	chrI	+	228844	229317	0.027426	3.058753	5.173892
YAR071W	PHO11	chrI	+	225460	226863	4.353632	485.549683	821.308960
STRG.89	-	chrI	+	225460	226863	4.353632	485.549683	821.308960
YDR034C-D	-	chrIV	-	514043	519356	0.004752	0.529979	0.896461
YDR034C-C	-	chrIV	-	518040	519356	0.000000	0.000000	0.000000
YDR098C-B	-	chrIV	-	645858	651126	0.018799	2.096606	3.546415
YDR098C-A	-	chrIV	-	649804	651126	0.000000	0.000000	0.000000
YDR170W-A	-	chrIV	+	803195	804517	0.028118	3.135930	5.304437
YDR210C-D	-	chrIV	-	878659	883927	0.223210	24.894054	42.108376
YDR210C-C	-	chrIV	-	882605	883927	0.013300	1.483316	2.509034
YDR261C-D	-	chrIV	-	987534	992349	0.072467	8.082064	13.670837
YDR261C-C	-	chrIV	-	991027	992349	0.253817	28.307575	47.882359
YDR316W-A	-	chrIV	+	1096064	1097386	0.000000	0.000000	0.000000
YDR316W-B	-	chrIV	+	1096064	1101332	0.038831	4.330725	7.325435
YDR365W-A	-	chrIV	+	1206997	1208319	0.152683	17.028355	28.803518
YDR365W-B	-	chrIV	+	1206997	1212265	0.055115	6.146839	10.397398
YER160C	-	chrV	-	492856	498124	0.007592	0.846717	1.432224
YER159C-A	-	chrV	-	496802	498124	0.024943	2.781831	4.705476
YER138C	-	chrV	-	443756	449024	0.313987	35.018185	59.233379
YER137C-A	-	chrV	-	447702	449024	0.200908	22.406769	37.901123
YGL053W	PRM8	chrVII	+	402589	403302	2.544818	283.817200	480.077728
STRG.90	-	chrVII	+	402589	403302	2.544818	283.817200	480.077728
YGL052W	-	chrVII	+	403437	403742	0.000000	0.000000	0.000000
YGL051W	MST27	chrVII	+	403687	404391	0.712057	79.413940	134.328949
YGR027W-A	-	chrVII	+	536057	537379	0.344747	38.448772	65.036224
YGR027W-B	-	chrVII	+	536057	541325	0.090739	10.119894	17.117834
YGR038C-B	-	chrVII	-	562199	567467	0.016474	1.837304	3.107806
YGR038C-A	-	chrVII	-	566145	567467	0.000000	0.000000	0.000000
YGR161C-D	-	chrVII	-	817747	823015	0.019700	2.197092	3.716388
YGR161C-C	-	chrVII	-	821693	823015	0.000000	0.000000	0.000000
YHR211W	FLO5	chrVIII	+	525392	528619	0.147460	16.445847	27.818203
YHR212C	-	chrVIII	-	537759	538094	3.193452	356.157715	602.442017
YHR212W-A	-	chrVIII	+	538742	538945	0.825980	92.119492	155.820419
YHR213W	-	chrVIII	+	539151	539747	0.792295	88.362679	149.465775
YHR213W-A	-	chrVIII	+	540549	540782	1.190171	132.736801	224.524734
YHR213W-B	-	chrVIII	+	540800	541099	0.278333	31.041788	52.507282
STRG.91	-	chrVIII	-	537759	538094	3.193452	356.157715	602.442017
STRG.92	-	chrVIII	+	540549	540782	1.190171	132.736801	224.524734
YHR214C-D	-	chrVIII	-	550648	550941	0.413265	46.090412	77.962090
YHR214W	-	chrVIII	+	541651	542262	4.253268	474.356323	802.375366
YHR214W-A	-	chrVIII	+	543008	543493	3.624485	404.229797	683.755981
STRG.93	-	chrVIII	+	541651	542262	4.253268	474.356323	802.375366
STRG.94	-	chrVIII	+	543008	543493	3.624485	404.229797	683.755981
YHR214C-B	-	chrVIII	-	543964	549346	0.005722	0.638160	1.079450
YHR214C-C	-	chrVIII	-	547910	549346	0.012248	1.365989	2.310575
YHR214C-E	-	chrVIII	-	551200	551499	0.295000	32.900616	55.651497
YHR216W	IMD2	chrVIII	+	554396	555967	0.062977	7.023668	11.880557
YHR215W	PHO12	chrVIII	+	552099	553502	2.852920	318.179047	538.200928
STRG.95	-	chrVIII	+	552099	553502	2.852920	318.179047	538.200928
YJR026W	-	chrX	+	472760	474082	0.412039	45.953682	77.730804
YJR027W	-	chrX	+	472760	478028	0.228016	25.430056	43.015022
YJR028W	-	chrX	+	478344	479666	1.072489	119.612022	202.324127
YJR029W	-	chrX	+	478344	483612	0.272664	30.409536	51.437832
STRG.96	-	chrX	-	472835	478629	9.178552	1630.334106	2757.715576
YLR157C-B	-	chrXII	-	476333	481601	0.310343	34.611782	58.545940
YLR157C-A	-	chrXII	-	480279	481601	0.161148	17.972435	30.400433
YLR256W-A	-	chrXII	+	651117	652439	0.017536	1.955746	3.308151
YML045W-A	-	chrXIII	+	184461	185783	0.024943	2.781831	4.705476
YML045W	-	chrXIII	+	184461	189729	0.007592	0.846717	1.432224
YLR227W-A	-	chrXII	+	593438	594760	0.017536	1.955746	3.308151
YLR227W-B	-	chrXII	+	593438	598706	0.176979	19.738028	33.386936
YNL054W-A	-	chrXIV	+	519456	520778	0.106374	11.863626	20.067364
YNL054W-B	-	chrXIV	+	519456	524706	0.028134	3.137715	5.307455
YML040W	-	chrXIII	+	196628	197950	0.000000	0.000000	0.000000
YML039W	-	chrXIII	+	196628	201896	0.270373	30.154026	51.005634
YOR142W-A	-	chrXV	+	595112	596434	0.009826	1.095869	1.853667
YOR142W-B	-	chrXV	+	595112	600380	0.012906	1.439374	2.434706
YOL103W-A	-	chrXV	+	118000	119322	0.053515	5.968394	10.095559
YOL103W-B	-	chrXV	+	118000	123268	0.333195	37.160408	62.856953
YPL257W-A	-	chrXVI	+	56748	58070	0.201209	22.440336	37.957905
YPL257W-B	-	chrXVI	+	56748	62016	0.313722	34.988632	59.183388
YLL024C	SSA2	chrXII	-	95566	97485	122.212761	13630.083984	23055.332031
STRG.97	-	chrXII	-	95566	97485	122.212761	13630.083984	23055.332031
YPR137C-B	-	chrXVI	-	805001	810269	0.515057	57.443024	97.165070
YPR137C-A	-	chrXVI	-	808947	810269	0.647270	72.188408	122.106934
tN(GUU)P	-	chrXVI	+	810676	810749	0.000000	0.000000	0.000000
YPR138C	MEP3	chrXVI	-	810984	812453	0.000000	0.000000	0.000000
YPR139C	-	chrXVI	-	813156	814058	0.000000	0.000000	0.000000
YPR140W	TAZ1	chrXVI	+	814391	815536	0.000000	0.000000	0.000000
YPR141C	KAR3	chrXVI	-	815734	817923	0.000001	0.000112	0.000189
YPR142C	-	chrXVI	-	818130	818693	0.000001	0.000112	0.000189
YPR143W	RRP15	chrXVI	+	818323	819075	0.000000	0.000000	0.000000
tI(AAU)P1	-	chrXVI	+	819529	819602	0.000000	0.000000	0.000000
YPR144C	NOC4	chrXVI	-	819765	821423	0.000001	0.000112	0.000189
snR45	-	chrXVI	+	821732	821903	0.000000	0.000000	0.000000
YPR145W	ASN1	chrXVI	+	822620	824338	0.000000	0.000000	0.000000
YPR145C-A	-	chrXVI	-	824690	824926	0.000001	0.000112	0.000189
YPR146C	-	chrXVI	-	825347	825676	0.000001	0.000112	0.000189
YPR147C	-	chrXVI	-	825645	826559	0.000001	0.000112	0.000189
YPR148C	-	chrXVI	-	826833	828140	0.000001	0.000112	0.000189
YPR149W	NCE102	chrXVI	+	829918	830439	0.000000	0.000000	0.000000
YPR150W	-	chrXVI	+	830999	831520	0.000000	0.000000	0.000000
YPR151C	SUE1	chrXVI	-	831055	831675	0.000001	0.000112	0.000189
YPR152C	URN1	chrXVI	-	832061	833458	0.000001	0.000112	0.000189
YPR153W	MAY24	chrXVI	+	833689	834245	0.000000	0.000000	0.000000
YPR154W	PIN3	chrXVI	+	834565	835212	0.000000	0.000000	0.000000
YPR155C	NCA2	chrXVI	-	835563	837413	0.000001	0.000112	0.000189
YPR156C	TPO3	chrXVI	-	837909	839777	0.000001	0.000112	0.000189
YPR157W	TDA6	chrXVI	+	841266	842669	0.000000	0.000000	0.000000
YPR158W	CUR1	chrXVI	+	843262	844020	0.000000	0.000000	0.000000
YPR158W-A	-	chrXVI	+	844709	846031	0.000000	0.000000	0.000000
YPR158W-B	-	chrXVI	+	844709	849980	0.038012	4.239384	7.170931
YPR158C-D	-	chrXVI	-	850989	856257	0.092466	10.312502	17.443632
YPR158C-C	-	chrXVI	-	854935	856257	0.000001	0.000112	0.000189
YDR089W	VTC5	chrIV	+	622112	624721	0.0	0.0	0.0
YDR535C	.	chrIV	-	1506606	1507362	0.0	0.0	0.0
YDL036C	PUS9	chrIV	-	387513	388901	0.0	0.0	0.0
YDR379C-A	SDH6	chrIV	-	1233278	1233517	0.0	0.0	0.0
YDR433W	.	chrIV	+	1329600	1330040	0.0	0.0	0.0
YDR023W	SES1	chrIV	+	489508	490896	0.0	0.0	0.0
YDR125C	ECM18	chrIV	-	701397	702758	0.0	0.0	0.0
YDR399W	HPT1	chrIV	+	1270068	1270733	0.0	0.0	0.0
YDR371C-A	.	chrIV	-	1219509	1219613	0.0	0.0	0.0
YDL055C	PSA1	chrIV	-	355674	356759	0.0	0.0	0.0
YDR340W	.	chrIV	+	1150881	1151183	0.0	0.0	0.0
YDL216C	RRI1	chrIV	-	68997	70319	0.0	0.0	0.0
YDL235C	YPD1	chrIV	-	33415	33918	0.0	0.0	0.0
YDL184C	RPL41A	chrIV	-	130407	130484	0.0	0.0	0.0
YDR221W	GTB1	chrIV	+	907330	909438	0.0	0.0	0.0
YDR374C	PHO92	chrIV	-	1223474	1224394	0.0	0.0	0.0
YDR470C	UGO1	chrIV	-	1399706	1401214	0.0	0.0	0.0
YDR043C	NRG1	chrIV	-	542674	543369	0.0	0.0	0.0
YDL017W	CDC7	chrIV	+	424209	425732	0.0	0.0	0.0
YDL170W	UGA3	chrIV	+	156318	157904	0.0	0.0	0.0
YDL245C	HXT15	chrIV	-	11657	13360	0.0	0.0	0.0
YDR057W	YOS9	chrIV	+	565927	567555	0.0	0.0	0.0
YDR045C	RPC11	chrIV	-	547978	548310	0.0	0.0	0.0
YDR218C	SPR28	chrIV	-	903781	905052	0.0	0.0	0.0
YDL067C	COX9	chrIV	-	334217	334396	0.0	0.0	0.0
YDL028C	MPS1	chrIV	-	400997	403291	0.0	0.0	0.0
YDL008W	APC11	chrIV	+	433497	433994	0.0	0.0	0.0
YDR407C	TRS120	chrIV	-	1284069	1287938	0.0	0.0	0.0
YDR539W	FDC1	chrIV	+	1512094	1513605	0.0	0.0	0.0
YDR545W	YRF1-1	chrIV	+	1526321	1531711	0.0	0.0	0.0
YDL046W	NPC2	chrIV	+	371240	371761	0.0	0.0	0.0
YDR521W	.	chrIV	+	1483141	1483476	0.0	0.0	0.0
YDL224C	WHI4	chrIV	-	54397	56346	0.0	0.0	0.0
YDR097C	MSH6	chrIV	-	640109	643837	0.0	0.0	0.0
YDR094W	.	chrIV	+	635840	636175	0.0	0.0	0.0
YDR365C	ESF1	chrIV	-	1204497	1206383	0.0	0.0	0.0
YDR028C	REG1	chrIV	-	497835	500879	0.0	0.0	0.0
YDL062W	.	chrIV	+	339857	340282	0.0	0.0	0.0
YDL151C	BUD30	chrIV	-	183318	183899	0.0	0.0	0.0
YDL207W	GLE1	chrIV	+	88248	89864	0.0	0.0	0.0
YDL018C	ERP3	chrIV	-	422833	423510	0.0	0.0	0.0
YDR159W	SAC3	chrIV	+	771877	775782	0.0	0.0	0.0
YDL205C	HEM3	chrIV	-	92762	93745	0.0	0.0	0.0
YDL128W	VCX1	chrIV	+	232652	233887	0.0	0.0	0.0
YDL176W	.	chrIV	+	142097	144223	0.0	0.0	0.0
YDL063C	SYO1	chrIV	-	338272	340134	0.0	0.0	0.0
tF(GAA)D	.	chrIV	-	1095370	1095461	0.0	0.0	0.0
YDL139C	SCM3	chrIV	-	211375	212046	0.0	0.0	0.0
YDL127W	PCL2	chrIV	+	234927	235853	0.0	0.0	0.0
YDR005C	MAF1	chrIV	-	456836	458103	0.0	0.0	0.0
YDR229W	IVY1	chrIV	+	924785	926146	0.0	0.0	0.0
YDR299W	BFR2	chrIV	+	1059627	1061231	0.0	0.0	0.0
YDR395W	SXM1	chrIV	+	1263324	1266158	0.0	0.0	0.0
YDR538W	PAD1	chrIV	+	1510902	1511630	0.0	0.0	0.0
YDR234W	LYS4	chrIV	+	931129	933210	0.0	0.0	0.0
YDR200C	VPS64	chrIV	-	854279	856093	0.0	0.0	0.0
YDL003W	MCD1	chrIV	+	444683	446383	0.0	0.0	0.0
YDR331W	GPI8	chrIV	+	1129588	1130823	0.0	0.0	0.0
tV(UAC)D	.	chrIV	-	488797	488870	0.0	0.0	0.0
YDR135C	YCF1	chrIV	-	723004	727551	0.0	0.0	0.0
YDR333C	RQC1	chrIV	-	1133260	1135431	0.0	0.0	0.0
YDL172C	.	chrIV	-	148607	149086	0.0	0.0	0.0
YDR364C	CDC40	chrIV	-	1202843	1204210	0.0	0.0	0.0
YDR082W	STN1	chrIV	+	610441	611925	0.0	0.0	0.0
YDR174W	HMO1	chrIV	+	812110	812850	0.0	0.0	0.0
YDR219C	MFB1	chrIV	-	905455	906852	0.0	0.0	0.0
YDR459C	PFA5	chrIV	-	1382319	1383443	0.0	0.0	0.0
YDR537C	.	chrIV	-	1510856	1511461	0.0	0.0	0.0
